25ns master table: /dev/CMSSW_7_4_0/HLT/V361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lien Steam Gdoc,,,,,,Lien Steam Gdoc,,,,,,,,,,,,
,,,,,,,L1 prescales,,,,,,,,,,,,HLT prescales,,,,,,,,,,,,Total prescale,,,,,,,,,,,,,,,/frozen/2015/25ns14e33/v3.0/HLT/V1 ,,,,,,/dev/CMSSW_7_4_0/GRun/V106,,,,,,,,,,,,
HLT_CaloJet500_NoJetID_v2,EXO,"25ns, 50ns,",yes,CMSHLT-141,L1_SingleJet200,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,32.64,±,7.05,Hz,,ms,12.21,±,3.86,Hz,,"Rate: Estimated to be around 11 Hz at 1.4E34, for jet pt threshold of 500 GeV, Goal: Safety trigger for Jets, Description: Single CaloJet with pt > 500 GeV, no jet ID",,,,,,,,
HLT_MET200_JetIdCleaned_v1,EXO,"25ns, 50ns,",yes,"CMSHLT-277, CMSHLT-479",L1_ETM50 OR L1_ETM60 OR L1_ETM70,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,0.63,±,0.1,Hz,,"group: Exotica (monojet), type: backup, menu: 5e33, 7e33, 1.4e34, description: Backup path in case of tracking/pflow failures..",,,,,,,,
HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_BTagCSV0p72_v1,Higgs (Hbb),"25ns, 50ns,",yes,"CMSHLT-128, mod CMSHLT-333, CMSHLT-405",L1_ETM70 OR L1_ETM60_NotJet52WdPhi2 OR L1_DoubleJetC56_ETM60,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,27.51,±,3.1,Hz,,ms,2.68,±,0.37,Hz,,group: HIG (Hbb),,,,,,,,
HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_v1,Higgs (Hbb),"25ns, 50ns,",yes,"CMSHLT-128, mod CMSHLT-333",L1_ETM70 OR L1_ETM60_NotJet52WdPhi2 OR L1_DoubleJetC56_ETM60,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   50,   25,   17,   12,   7,   3,   2,   1,   1,   1,   1,,   50,   25,   17,   12,   7,   3,   2,   1,   1,   1,   1,,,ms,2.98,±,0.73,Hz,,ms,0.29,±,0.1,Hz,,group: HIG (Hbb),,,,,,,,
HLT_DiCentralPFJet55_PFMET110_JetIdCleaned_v1,SUSY,"25ns, 50ns,",yes,"CMSHLT-146, mod CMSHLT-356, CMSHLT-479",L1_ETM60 OR L1_ETM70,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,7.6,±,2.78,Hz,,"group: SUSY, type: signal, description: trigger to extend accessible phase space for hadronic analyses. Calo filters are applied on jets and MET.",,,,,,,,
HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v2,Higgs,"25ns, 50ns,",yes,"CMSHLT-147, mod CMSHLT-331",L1_DoubleMu7_EG7,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,3.33,±,0.11,Hz,,ms,1.49,±,0.18,Hz,,"group : HIG, type : signal, description : non-isolated dimuon+electron path, designed for H->ZZ*->2e2mu",,,,,,,,
HLT_Dimuon0_Jpsi_Muon_v2,BPH,"25ns, 50ns,",yes,CMHSLT-155,L1_TripleMu0,,   100,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   100,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0.06,±,0.02,Hz,,ms,8.28,±,2.75,Hz,,"group: BPH, rate: prescaled to few Hertz, type: control, description: Jpsi + 1 muon",,,,,,,,
HLT_Dimuon0_Phi_Barrel_v2,BPH,"25ns, 50ns,",yes,CMSHLT-211 (only for 7e33),L1_DoubleMu0_Eta1p6_WdEta18,,  2 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0,±,0,Hz,,ms,20.64,±,0.53,Hz,,"- group: BPH, - exp rate at 7E33: 12.5 Hz, - type: signal, - description: Quarkonia",,,,,,,,
HLT_Dimuon0_Upsilon_Muon_v2,BPH,"25ns, 50ns,",yes,CMHSLT-155,L1_TripleMu0,,   100,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   100,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0.09,±,0.04,Hz,,ms,5.17,±,0.33,Hz,,"group: BPH, rate: prescaled to few Hertz, type: control, description: Upsilon + 1 muon",,,,,,,,
HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2,BPH,"25ns, 50ns,",yes,CMSHLT-145,L1_DoubleMu0_Eta1p6_WdEta18,,  2 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   50,   36,   24,   14,   7,   5,   3,   2,   1,   1,,  2 000,   50,   36,   24,   14,   7,   5,   3,   2,   1,   1,,,ms,0.03,±,0.01,Hz,,ms,1.24,±,0.14,Hz,,"group: BPH, rate: prescaled to few Hertz, type: TnP, description: dimuon without charge requirements",,,,,,,,
HLT_Dimuon0er16_Jpsi_NoVertexing_v2,BPH,"25ns, 50ns,",yes,CMSHLT-145,L1_DoubleMu0_Eta1p6_WdEta18_OS,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   100,   50,   35,   25,   14,   7,   5,   3,   2,   1,   1,,   100,   50,   35,   25,   14,   7,   5,   3,   2,   1,   1,,,ms,0.99,±,0.12,Hz,,ms,1.44,±,0.31,Hz,,"group: BPH, rate: prescaled to few Hertz, type: TnP, description: dimuon with L1 charge requirements",,,,,,,,
