25ns master table: /dev/CMSSW_7_4_0/HLT/V361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lien Steam Gdoc,,,,,,Lien Steam Gdoc,,,,,,,,,,,,
,,,,,,,L1 prescales,,,,,,,,,,,,HLT prescales,,,,,,,,,,,,Total prescale,,,,,,,,,,,,,,,/frozen/2015/25ns14e33/v3.0/HLT/V1 ,,,,,,/dev/CMSSW_7_4_0/GRun/V106,,,,,,,,,,,,
HLT_PFJet500_v2,"SMP, B2G","25ns, 50ns,",yes,CMSHLT-123,L1_SingleJet200,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,31.38,±,7.05,Hz,,ms,11.71,±,3.86,Hz,,"group: SMP-J, rate: 11 Hz (subset of HLT_PFJet450 path), type: Signal, description: Single Jet trigger requiring pT(CaloJet) > 450 GeV and pT(PFJet) > 500 Gev",,,,,,,,
HLT_PFJet60_v2,SMP,"25ns, 50ns,",yes,CMSHLT-123,L1_SingleJet36,,  80 000,  40 000,  40 000,  40 000,  20 000,  20 000,  5 000,  5 000,  2 000,  2 000,  2 000,,   4,   4,   2,   1,   2,   1,   3,   2,   3,   2,   1,,  320 000,  160 000,  80 000,  40 000,  40 000,  20 000,  15 000,  10 000,  6 000,  4 000,  2 000,,,ms,0.49,±,0.15,Hz,,ms,0,±,0,Hz,,"group: SMP-J, rate: 1 Hz, type: Signal, description: Single Jet trigger requiring pT(CaloJet) > 40 GeV and pT(PFJet) > 60 Gev",,,,,,,,
HLT_PFJet80_v2,SMP,"25ns, 50ns,",yes,CMSHLT-123,L1_SingleJet52,,  10 000,  5 000,  5 000,  5 000,  5 000,  5 000,  2 000,  2 000,  1 000,  1 000,  1 000,,   6,   6,   4,   2,   1,   1,   2,   1,   3,   2,   1,,  60 000,  30 000,  20 000,  10 000,  5 000,  5 000,  4 000,  2 000,  3 000,  2 000,  1 000,,,ms,0.43,±,0.12,Hz,,ms,0.33,±,0.09,Hz,,"group: SMP-J, rate: 1 Hz, type: Signal, description: Single Jet trigger requiring pT(CaloJet) > 50 GeV and pT(PFJet) > 80 Gev",,,,,,,,
HLT_PFMET100_PFMHT100_IDTight_v1,Higgs (Hbb),"25ns, 50ns,",yes,"CMSHLT-203 (only for 7e33), mod CMSHLT-333",L1_ETM70 OR L1_ETM60_NotJet52WdPhi2 OR L1_DoubleJetC56_ETM60,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0,±,0,Hz,,ms,15.2,±,4.77,Hz,,group: HIG (Hbb),,,,,,,,
HLT_PFMET110_PFMHT110_IDTight_v1,Higgs (Hbb),"25ns, 50ns,",yes,"CMSHLT-203 (only for 7e33), mod CMSHLT-333",L1_ETM70 OR L1_ETM60_NotJet52WdPhi2 OR L1_DoubleJetC56_ETM60,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0,±,0,Hz,,ms,7.28,±,2.77,Hz,,group: HIG (Hbb),,,,,,,,
HLT_PFMET120_JetIdCleaned_BTagCSV0p72_v1,SUSY,"25ns, 50ns,",yes,"CMSHLT-105, CMSHLT-405, CMSHLT-479",L1_ETM60 OR L1_ETM70,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,1.74,±,0.32,Hz,,group: SUSY,,,,,,,,
HLT_PFMET120_JetIdCleaned_Mu5_v1,SUSY,"25ns, 50ns,",yes,"CMSHLT-120, CMSHLT-190, CMSHLT-479",L1_SingleMuOpen,,  262 139,  262 139,  262 139,  262 139,  262 139,  262 139,  262 139,  262 139,  262 139,  1 500,   750,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,  262 139,  262 139,  262 139,  262 139,  262 139,  262 139,  262 139,  262 139,  262 139,  1 500,   750,,,ms,,±,,Hz,,ms,0,±,0,Hz,,"group : JME, rate : 47% of old HLT_PFMET180, type : signal, approval : https://indico.cern.ch/event/305875/contribution/1/3/material/slides/0.pdf, description : Like HLT_PFMET180, but with HBHE+JetID noise cleaning.",,,,,,,,
HLT_PFMET120_PFMHT120_IDTight_v1,Higgs (Hbb),"25ns, 50ns,",yes,"CMSHLT-128, CMSHLT-186, mod CMSHLT-333",L1_ETM70 OR L1_ETM60_NotJet52WdPhi2 OR L1_DoubleJetC56_ETM60,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,28.85,±,6.51,Hz,,ms,2.48,±,0.27,Hz,,group: HIG (Hbb),,,,,,,,
HLT_PFMET170_NoiseCleaned_v2,"SUSY, EXO, B2G","25ns, 50ns,",yes,CMSHLT-105 ,L1_ETM60 OR L1_ETM70,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,11.84,±,5.01,Hz,,ms,0.75,±,0.15,Hz,,"group : JME, rate : 47% of old HLT_PFMET180, type : signal, approval : https://indico.cern.ch/event/305875/contribution/1/3/material/slides/0.pdf, description : Like HLT_PFMET180, but with HBHE+JetID noise cleaning.",,,,,,,,
HLT_PFMET170_HBHECleaned_v1,"SUSY, EXO, B2G","25ns, 50ns,",yes,"CMSHLT-105, CMSHLT-479",L1_ETM60 OR L1_ETM70,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,0.75,±,0.15,Hz,,"group : JME, rate : 47% of old HLT_PFMET180, type : signal, approval : https://indico.cern.ch/event/305875/contribution/1/3/material/slides/0.pdf, description : Like HLT_PFMET180, but with HBHE+JetID noise cleaning.",,,,,,,,
HLT_PFMET170_JetIdCleaned_v1,"SUSY, EXO, B2G","25ns, 50ns,",yes,"CMSHLT-105, CMSHLT-479",L1_ETM60 OR L1_ETM70,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,0.75,±,0.15,Hz,,"group : JME, rate : 47% of old HLT_PFMET180, type : signal, approval : https://indico.cern.ch/event/305875/contribution/1/3/material/slides/0.pdf, description : Like HLT_PFMET180, but with HBHE+JetID noise cleaning.",,,,,,,,
HLT_PFMET170_v1,"SUSY, EXO, B2G","25ns, 50ns,",yes,"CMSHLT-105, CMSHLT-479",L1_ETM60 OR L1_ETM70,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,,±,,Hz,,"group : JME, rate : 47% of old HLT_PFMET180, type : signal, approval : https://indico.cern.ch/event/305875/contribution/1/3/material/slides/0.pdf, description : Like HLT_PFMET180, but with HBHE+JetID noise cleaning.",,,,,,,,
HLT_PFMET300_JetIdCleaned_v1,Hotline,"25ns, 50ns,",yes,"CMSHLT-312, CMSHLT-479",L1_ETM60 OR L1_ETM70,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,0.03,±,0.02,Hz,,"group: PPD, rate: 0.005 Hz @ 5e33, approval: https://indico.cern.ch/event/376578/contribution/2/material/slides/0.pdf, description: main PFMET trigger for the hotline",,,,,,,,
HLT_PFMET400_JetIdCleaned_v1,Hotline,"25ns, 50ns,",yes,"CMSHLT-312, CMSHLT-479",L1_ETM60 OR L1_ETM70,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,0.01,±,0.01,Hz,,"group: PPD, rate: < 0.005 Hz @ 5e33, approval: https://indico.cern.ch/event/376578/contribution/2/material/slides/0.pdf, description: backup PFMET trigger for the hotline",,,,,,,,
HLT_PFMET90_PFMHT90_IDTight_v1,Higgs (Hbb),"25ns, 50ns,",yes,"CMSHLT-203 (only for 7e33), mod CMSHLT-333",L1_ETM70 OR L1_ETM60_NotJet52WdPhi2 OR L1_DoubleJetC56_ETM60,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0,±,0,Hz,,ms,22.57,±,4.86,Hz,,group: HIG (Hbb),,,,,,,,
HLT_PFMETNoMu120_JetIdCleaned_PFMHTNoMu120_IDTight_v1,EXO,"25ns, 50ns,",yes,"CMSHLT-277, CMSHLT-479",L1_ETM70 OR L1_ETM60_NotJet52WdPhi2 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,4.35,±,0.36,Hz,,"group: EXO, rate: 7 Hz pure, type: signal, description: PFHT > 650 GeV, wide dijets > 950 GeV",,,,,,,,
HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v1,EXO,"25ns, 50ns,",yes,"CMSHLT-277, CMSHLT-479",L1_ETM70 OR L1_ETM60_NotJet52WdPhi2 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,33.26,±,4.97,Hz,,"group: Exotica (monojet), type: signal, menu: 5e33, 7e33, description: Monojet trigger which looks for high PFMETNoMu, PFMHTNoMu. Noise cleanings from JetMET are included.",,,,,,,,
HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_PFMET40_v2,Higgs (H→ZZ→2ℓ2ν),"25ns, 50ns,",yes,CMSHLT-138,L1_SingleEG40,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,5.01,±,2.95,Hz,,ms,3.65,±,2.76,Hz,,group: HIG,,,,,,,,
HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_VBF_v2,Higgs (H→ZZ→2ℓ2ν),"25ns, 50ns,",yes,CMSHLT-138,L1_SingleEG40,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,5.38,±,2.95,Hz,,ms,0.54,±,0.24,Hz,,group: HIG,,,,,,,,
HLT_Photon120_R9Id90_HE10_IsoM_v2,"SMP, SUSY","25ns, 50ns,",yes,"CMHSLT-157, mod. CMSHLT-230",L1_SingleEG40,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   4,   2,   2,   1,   1,   1,   1,   1,   1,   1,   1,,   4,   2,   2,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,1.13,±,0.09,Hz,,ms,1.51,±,0.35,Hz,,"group: SMP, rate: PS to 1.5 Hz, type: signal/control, description: single photons with ID and iso, for higher purity SMP selection and SUSY Z+jets bg estimates",,,,,,,,
HLT_Photon120_v2,"SMP, EXO","25ns, 50ns,",yes,CMHSLT-157,L1_SingleEG40,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   150,   75,   50,   30,   15,   10,   5,   4,   3,   2,   1,,   150,   75,   50,   30,   15,   10,   5,   4,   3,   2,   1,,,ms,0.33,±,0.05,Hz,,ms,0.28,±,0.1,Hz,,"group: SMP, rate: PS to 0.5 Hz, type: signal/control, description: single photons with loose ID and no iso for unbiased fake studies",,,,,,,,
HLT_Photon135_PFMET100_JetIdCleaned_v1,EXO,"25ns, 50ns,",yes,"CMSHLT-194, CMSHLT-479",L1_SingleEG40 OR L1_SingleJet200,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,3.36,±,2.74,Hz,,"- group: EXO, - type: signal",,,,,,,,
HLT_Photon165_HE10_v2,"SMP, SUSY","25ns, 50ns,",yes,CMSHLT-194,L1_SingleEG40 OR L1_SingleJet200,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,12.74,±,0.19,Hz,,ms,6.86,±,0.55,Hz,,group: Egamma,,,,,,,,
HLT_Photon165_R9Id90_HE10_IsoM_v2,"Higgs, SUSY, SMP","25ns, 50ns,",yes,"CMHSLT-157, mod. CMSHLT-230",L1_SingleEG40,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,1.31,±,0.06,Hz,,ms,0.6,±,0.15,Hz,,"group: SMP, rate: in shadow of HLT_Photon165_HE10 if unprescaled, otherwise PS to 1.5 Hz, type: signal/control/backup, description: single photons with ID and iso, for higher purity SMP selection and SUSY Z+jets bg estimates",,,,,,,,
HLT_Photon175_v2,"SMP, EXO","25ns, 50ns,",yes,CMSHLT-194,L1_SingleEG40 OR L1_SingleJet200,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,12.26,±,0.44,Hz,,ms,6.58,±,0.55,Hz,,group: Egamma,,,,,,,,
HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_PFMET40_v2,Higgs (H→ZZ→2ℓ2ν),"25ns, 50ns,",yes,"CMSHLT-83, mod. CMSHLT-122, CMSHLT-138",L1_SingleEG20,,  4 000,  2 000,   10,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,  4 000,  2 000,   10,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0.21,±,0.07,Hz,,ms,0.12,±,0.07,Hz,,"- group: HIG, - type: control , - approval: https://indico.cern.ch/event/320705/contribution/16/material/slides/0.pdf, - hltIntegrationTests: /afs/cern.ch/user/x/xshi/public/hlt/hzz_photon_jet_v53/hlt.log, - rate: 95.84 Hz (2012Data)",,,,,,,,
HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_VBF_v2,Higgs (H→ZZ→2ℓ2ν),"25ns, 50ns,",yes,"CMSHLT-83, mod. CMSHLT-122, CMSHLT-138",L1_SingleEG20,,  4 000,  2 000,   10,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,  4 000,  2 000,   10,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0.28,±,0.08,Hz,,ms,0.06,±,0.06,Hz,,"- group: HIG, - type: control , - approval: https://indico.cern.ch/event/320705/contribution/16/material/slides/0.pdf, - hltIntegrationTests: /afs/cern.ch/user/x/xshi/public/hlt/hzz_photon_jet_v53/hlt.log, - rate: 32.24 Hz (2012Data)",,,,,,,,
HLT_Photon22_R9Id90_HE10_IsoM_v2,"SMP, SUSY","25ns, 50ns,",yes,"CMHSLT-157, mod. CMSHLT-230",L1_SingleEG20,,  4 000,  2 000,   10,   1,   1,   1,   1,   1,   1,   1,   1,,   4,   1,   200,  1 200,   800,   400,   300,   200,   100,   80,   40,,  16 000,  2 000,  2 000,  1 200,   800,   400,   300,   200,   100,   80,   40,,,ms,0.96,±,0.14,Hz,,ms,0.86,±,0.19,Hz,,"group: SMP, rate: PS to 0.5 Hz, type: signal/control, description: single photons with ID and iso, for higher purity SMP selection and SUSY Z+jets bg estimates",,,,,,,,
HLT_Photon22_v2,"SMP, EXO","25ns, 50ns,",yes,CMHSLT-157,L1_SingleEG20,,  4 000,  2 000,   10,   1,   1,   1,   1,   1,   1,   1,   1,,   36,   9,  1 000,  8 000,  5 000,  2 400,  1 800,  1 200,  1 000,   500,   260,,  144 000,  18 000,  10 000,  8 000,  5 000,  2 400,  1 800,  1 200,  1 000,   500,   260,,,ms,0.12,±,0.04,Hz,,ms,0.58,±,0.16,Hz,,"group: SMP, rate: PS to 0.5 Hz, type: signal/control, description: single photons with loose ID and no iso for unbiased fake studies",,,,,,,,
HLT_Photon250_NoHE_v2,Higgs (H→ZZ→2ℓ2ν),"25ns, 50ns,",yes,CMSHLT-138,L1_SingleEG40 OR L1_SingleJet200,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,26.76,±,7.05,Hz,,ms,9.39,±,3.86,Hz,,"- group: HIG, - type: control , - approval: https://indico.cern.ch/event/320705/contribution/16/material/slides/0.pdf, - hltIntegrationTests: /afs/cern.ch/user/x/xshi/public/hlt/hzz_photon_jet_v53/hlt.log, - rate: 0.22 Hz (2012Data)",,,,,,,,
HLT_Photon26_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon16_AND_HE10_R9Id65_Eta2_Mass60_v2,EXO,"25ns, 50ns,",yes,CMSHLT-142,L1_SingleEG40 OR L1_SingleEG35 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   300,   150,   100,   75,   42,   21,   15,   10,   7,   4,   2,,   300,   150,   100,   75,   42,   21,   15,   10,   7,   4,   2,,,ms,0.08,±,0.03,Hz,,ms,0.15,±,0.09,Hz,,"group: EXO long-lived, rate: prescaled to 0.1 Hz, type: control, description: control trigger for HLT_Photon36_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon22_AND_HE10_R9Id65_Eta2_Mass15_v1, approval: https://indico.cern.ch/event/338306/contribution/21/material/slides/0.pdf",,,,,,,,
HLT_Photon30_R9Id90_HE10_IsoM_v2,"SMP, SUSY","25ns, 50ns,",yes,"CMHSLT-157, mod. CMSHLT-230",L1_SingleEG25,,  1 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   2,  1 000,  1 000,   600,   400,   200,   150,   100,   50,   40,   20,,  2 000,  1 000,  1 000,   600,   400,   200,   150,   100,   50,   40,   20,,,ms,0.66,±,0.11,Hz,,ms,0.86,±,0.21,Hz,,"group: SMP, rate: PS to 0.5 Hz, type: signal/control, description: single photons with ID and iso, for higher purity SMP selection and SUSY Z+jets bg estimates",,,,,,,,
HLT_Photon30_v2,"SMP, EXO","25ns, 50ns,",yes,CMHSLT-157,L1_SingleEG25,,  1 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   36,  9 000,  5 000,  4 000,  2 500,  1 200,   900,   600,   500,   250,   130,,  36 000,  9 000,  5 000,  4 000,  2 500,  1 200,   900,   600,   500,   250,   130,,,ms,0.12,±,0.04,Hz,,ms,0.17,±,0.09,Hz,,"group: SMP, rate: PS to 0.5 Hz, type: signal/control, description: single photons with loose ID and no iso for unbiased fake studies",,,,,,,,
HLT_Photon300_NoHE_v2,Higgs (H→ZZ→2ℓ2ν),"25ns, 50ns,",yes,CMSHLT-138,L1_SingleEG40 OR L1_SingleJet200,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,21.71,±,7.05,Hz,,ms,7.03,±,3.85,Hz,,"- group: HIG, - type: control , - approval: https://indico.cern.ch/event/320705/contribution/16/material/slides/0.pdf, - hltIntegrationTests: /afs/cern.ch/user/x/xshi/public/hlt/hzz_photon_jet_v53/hlt.log, - rate: 0.22 Hz (2012Data)",,,,,,,,
HLT_Photon36_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon22_AND_HE10_R9Id65_Eta2_Mass15_v2,EXO,"25ns, 50ns,",yes,CMSHLT-142,L1_SingleEG40 OR L1_SingleEG35 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,24.23,±,0.94,Hz,,ms,11.46,±,0.88,Hz,,"group: EXO long-lived, expected rate: 4.1 Hz, type: signal, description: variant of Higgs resonant trigger with |eta|<2.0 and mass cut lowered to 15 for lower-mass long-lived particle searches, approval: https://indico.cern.ch/event/338306/contribution/21/material/slides/0.pdf",,,,,,,,
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_PFMET40_v2,Higgs (H→ZZ→2ℓ2ν),"25ns, 50ns,",yes,"CMSHLT-83, mod. CMSHLT-122, CMSHLT-138",L1_SingleEG30,,   800,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   100,   70,   50,   28,   14,   10,   7,   5,   2,   1,,   800,   100,   70,   50,   28,   14,   10,   7,   5,   2,   1,,,ms,0.18,±,0.05,Hz,,ms,0.24,±,0.11,Hz,,"- group: HIG, - type: control , - approval: https://indico.cern.ch/event/320705/contribution/16/material/slides/0.pdf, - hltIntegrationTests: /afs/cern.ch/user/x/xshi/public/hlt/hzz_photon_jet_v53/hlt.log, - rate: 15.83 Hz (2012Data)",,,,,,,,
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_VBF_v2,Higgs (H→ZZ→2ℓ2ν),"25ns, 50ns,",yes,"CMSHLT-83, mod. CMSHLT-122, CMSHLT-138",L1_SingleEG30,,   800,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   100,   70,   50,   28,   14,   10,   7,   5,   2,   1,,   800,   100,   70,   50,   28,   14,   10,   7,   5,   2,   1,,,ms,0.25,±,0.06,Hz,,ms,0.7,±,0.2,Hz,,"- group: HIG, - type: control , - approval: https://indico.cern.ch/event/320705/contribution/16/material/slides/0.pdf, - hltIntegrationTests: /afs/cern.ch/user/x/xshi/public/hlt/hzz_photon_jet_v53/hlt.log, - rate: 5.28 Hz (2012Data)",,,,,,,,
HLT_Photon36_R9Id90_HE10_IsoM_v2,"SMP, SUSY","25ns, 50ns,",yes,"CMHSLT-157, mod. CMSHLT-230",L1_SingleEG30,,   800,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   500,   500,   300,   200,   100,   75,   50,   25,   20,   10,,   800,   500,   500,   300,   200,   100,   75,   50,   25,   20,   10,,,ms,1.87,±,0.59,Hz,,ms,1.2,±,0.3,Hz,,"group: SMP, rate: PS to 0.5 Hz, type: signal/control, description: single photons with ID and iso, for higher purity SMP selection and SUSY Z+jets bg estimates",,,,,,,,
HLT_Photon36_v2,"SMP, EXO","25ns, 50ns,",yes,CMHSLT-157,L1_SingleEG30,,   800,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   24,  4 500,  2 500,  2 000,  1 250,   600,   450,   300,   250,   125,   65,,  19 200,  4 500,  2 500,  2 000,  1 250,   600,   450,   300,   250,   125,   65,,,ms,0.1,±,0.03,Hz,,ms,0.26,±,0.11,Hz,,"group: SMP, rate: PS to 0.5 Hz, type: signal/control, description: single photons with loose ID and no iso for unbiased fake studies",,,,,,,,
HLT_Photon42_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon25_AND_HE10_R9Id65_Eta2_Mass15_v1,EXO,"25ns, 50ns,",yes,CMSHLT-490,L1_SingleEG40 OR L1_SingleEG35 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,,±,,Hz,,"group: EXO long-lived, expected rate: 4.1 Hz, type: signal, description: variant of Higgs resonant trigger with |eta|<2.0 and mass cut lowered to 15 for lower-mass long-lived particle searches, approval: https://indico.cern.ch/event/338306/contribution/21/material/slides/0.pdf",,,,,,,,
HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_PFMET40_v2,Higgs (H→ZZ→2ℓ2ν),"25ns, 50ns,",yes,"CMSHLT-83, mod. CMSHLT-122, CMSHLT-138",L1_SingleEG40,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   17,   9,   6,   4,   2,   1,   1,   1,   1,   1,   1,,   17,   9,   6,   4,   2,   1,   1,   1,   1,   1,   1,,,ms,1.45,±,0.13,Hz,,ms,1.03,±,0.22,Hz,,"- group: HIG, - type: control , - approval: https://indico.cern.ch/event/320705/contribution/16/material/slides/0.pdf, - hltIntegrationTests: /afs/cern.ch/user/x/xshi/public/hlt/hzz_photon_jet_v53/hlt.log, - rate: 4.83 Hz (2012Data)",,,,,,,,
HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_VBF_v2,Higgs (H→ZZ→2ℓ2ν),"25ns, 50ns,",yes,"CMSHLT-83, mod. CMSHLT-122, CMSHLT-138",L1_SingleEG40,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   6,   3,   2,   1,   1,   1,   1,   1,   1,   1,   1,,   6,   3,   2,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,6.75,±,0.29,Hz,,ms,3.85,±,0.5,Hz,,"- group: HIG, - type: control , - approval: https://indico.cern.ch/event/320705/contribution/16/material/slides/0.pdf, - hltIntegrationTests: /afs/cern.ch/user/x/xshi/public/hlt/hzz_photon_jet_v53/hlt.log, - rate: 1.61 Hz (2012Data)",,,,,,,,
HLT_Photon50_R9Id90_HE10_IsoM_v2,"SMP, SUSY","25ns, 50ns,",yes,"CMHSLT-157, mod. CMSHLT-230",L1_SingleEG40,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   120,   60,   48,   30,   20,   10,   6,   4,   3,   2,   2,,   120,   60,   48,   30,   20,   10,   6,   4,   3,   2,   2,,,ms,1.72,±,0.18,Hz,,ms,2.1,±,0.37,Hz,,"group: SMP, rate: PS to 1.5 Hz, type: signal/control, description: single photons with ID and iso, for higher purity SMP selection and SUSY Z+jets bg estimates",,,,,,,,
